00000000;Asparagus;Great Value
00000001;Broccoli;Great Value
00000002;Carrots;Great Value
00000003;Cauliflower;Great Value
00000004;Celery;Great Value
00000005;Corn;Great Value
00000006;Cucumbers;Great Value
00000007;Lettuce / Greens;Great Value
00000008;Mushrooms;Great Value
00000009;Onions;Great Value
00000010;Peppers;Great Value
00000011;Potatoes;Great Value
00000012;Spinach;Great Value
00000013;Squash;Great Value
00000014;Zucchini;Great Value
00000015;Tomatoes;Great Value
00000016;Apples;Great Value
00000017;Avocados;Great Value
00000018;Bananas;Great Value
00000019;Berries;Great Value
00000020;Cherries;Great Value
00000021;Grapefruit;Great Value
00000022;Grapes;Great Value
00000023;Kiwis;Great Value
00000024;Lemons / Limes;Great Value
00000025;Melon;Great Value
00000026;Nectarines;Great Value
00000027;Oranges;Great Value
00000028;Peaches;Great Value
00000029;Pears;Great Value
00000030;Plums;Great Value
00000031;Bagels;Great Value
00000032;Chip dip;Great Value
00000033;Eggs / Fake eggs;Great Value
00000034;English muffins;Great Value
00000035;Fruit juice;Great Value
00000036;Hummus;Great Value
00000037;Ready-bake breads;Great Value
00000038;Tofu;Great Value
00000039;Tortillas;Great Value
00000040;Breakfasts;Great Value
00000041;Burritos;Great Value
00000042;Fish sticks;Great Value
00000043;Fries / Tater tots;Great Value
00000044;Ice cream / Sorbet;Great Value
00000045;Juice concentrate;Great Value
00000046;Pizza;Great Value
00000047;Pizza Rolls;Great Value
00000048;Popsicles;Great Value
00000049;TV dinners;Great Value
00000050;Vegetables;Great Value
00000051;BBQ sauce;Great Value
00000052;Gravy;Great Value
00000053;Honey;Great Value
00000054;Hot sauce;Great Value
00000055;Jam / Jelly / Preserves;Great Value
00000056;Ketchup / Mustard;Great Value
00000057;Mayonnaise;Great Value
00000058;Pasta sauce;Great Value
00000059;Relish;Great Value
00000060;Salad dressing;Great Value
00000061;Salsa;Great Value
00000062;Soy sauce;Great Value
00000063;Steak sauce;Great Value
00000064;Syrup;Great Value
00000065;Worcestershire sauce;Great Value
00000066;Bouillon cubes;Great Value
00000067;Cereal;Great Value
00000068;Coffee / Filters;Great Value
00000069;Instant potatoes;Great Value
00000070;Lemon / Lime juice;Great Value
00000071;Mac & cheese;Great Value
00000072;Olive oil;Great Value
00000073;Packaged meals;Great Value
00000074;Pancake / Waffle mix;Great Value
00000075;Pasta;Great Value
00000076;Peanut butter;Great Value
00000077;Pickles;Great Value
00000078;Rice;Great Value
00000079;Tea;Great Value
00000080;Vegetable oil;Great Value
00000081;Vinegar;Great Value
00000082;Applesauce;Great Value
00000083;Baked beans;Great Value
00000084;Broth;Great Value
00000085;Fruit;Great Value
00000086;Olives;Great Value
00000087;Tinned meats;Great Value
00000088;Tuna / Chicken;Great Value
00000089;Soup / Chili;Great Value
00000090;Tomatoes;Great Value
00000091;Veggies;Great Value
00000092;Basil;Great Value
00000093;Black pepper;Great Value
00000094;Cilantro;Great Value
00000095;Cinnamon;Great Value
00000096;Garlic;Great Value
00000097;Ginger;Great Value
00000098;Mint;Great Value
00000099;Oregano;Great Value
00000100;Paprika;Great Value
00000101;Parsley;Great Value
00000102;Red pepper;Great Value
00000103;Salt;Great Value
00000104;Vanilla extract;Great Value
00000105;Butter / Margarine;Great Value
00000106;Cottage cheese;Great Value
00000107;Half & half;Great Value
00000108;Milk;Great Value
00000109;Sour cream;Great Value
00000110;Whipped cream;Great Value
00000111;Yogurt;Great Value
00000112;Bleu cheese;Great Value
